"transaction_description","category","country","currency"
"Shell Store - Afternoon","Transportation","INDIA","INR"
"Theme Park Store","Entertainment & Recreation","CANADA","CAD"
"Pizza Hut","Food & Dining","USA","USD"
"Humane Society #6389 - Evening","Charity & Donations","UK","GBP"
"Public WiFi Center Strip Mall","Utilities & Services","AUSTRALIA","AUD"
"Kickstarter","Charity & Donations","UK","GBP"
"CVS - CANADA","Healthcare & Medical","CANADA","CAD"
"Comcast #3467","Utilities & Services","CANADA","CAD"
"Cinemark #1423 Mall","Entertainment & Recreation","INDIA","INR"
"Primary Care (Mobile)","Healthcare & Medical","UK","GBP"
"Baskin-Robbins Online","Food & Dining","UK","GBP"
"City Hall #7849 - Weekday","Government & Legal","CANADA","CAD"
"Budget (Online)","Transportation","INDIA","INR"
"Best Buy","Shopping & Retail","INDIA","INR"
"CIA","Government & Legal","AUSTRALIA","AUD"
"Permit Store","Government & Legal","UK","GBP"
"Fundraising - Lunch Time","Charity & Donations","CANADA","CAD"
"Church #6491 Online","Charity & Donations","AUSTRALIA","AUD"
"RCN - Weekend","Utilities & Services","CANADA","CAD"
"Dunkin' Donuts Store Online - Evening","Food & Dining","CANADA","CAD"
"Reward - AUSTRALIA Residential","Income","AUSTRALIA","AUD"
"Capital One Center","Financial Services","UK","GBP"
"Brokerage #4155","Financial Services","CANADA","CAD"
"Medicare","Government & Legal","AUSTRALIA","AUD"
"Nordstrom Rack #7127 Station","Shopping & Retail","CANADA","CAD"
"Turo Online TXN783456","Transportation","USA","USD"
"Chiropractor - INDIA","Healthcare & Medical","INDIA","INR"
"Family Dollar (Mobile)","Shopping & Retail","CANADA","CAD"
"Equinox #1414","Entertainment & Recreation","AUSTRALIA","AUD"
"Emergency Room","Healthcare & Medical","AUSTRALIA","AUD"
"Panda Express #6286","Food & Dining","CANADA","CAD"
"BMO Harris","Financial Services","AUSTRALIA","AUD"
"TSA","Government & Legal","USA","USD"
"SoulCycle #3598 - CANADA Store Online","Entertainment & Recreation","CANADA","CAD"
"Temple - Morning","Charity & Donations","CANADA","CAD"
"Credit Union - USA","Financial Services","USA","USD"
"Orange Theory - UK","Entertainment & Recreation","UK","GBP"
"Satellite Internet #9205 (ACH)","Utilities & Services","USA","USD"
"Franchise #9758","Income","INDIA","INR"
"UCLA Medical (Digital Wallet)","Healthcare & Medical","INDIA","INR"
"OfficeMax","Shopping & Retail","UK","GBP"
"Lowe's - UK","Shopping & Retail","UK","GBP"
"County Clerk","Government & Legal","USA","USD"
"Immigration Store","Government & Legal","CANADA","CAD"
"Lord & Taylor #7489","Shopping & Retail","USA","USD"
"Frontier #6963","Utilities & Services","UK","GBP"
"Primary Care Store","Healthcare & Medical","UK","GBP"
"Starlink - AUSTRALIA Store","Utilities & Services","AUSTRALIA","AUD"
"Dividend TXN979009","Income","USA","USD"
"Saks Off 5th Store Online","Shopping & Retail","USA","USD"
"TD Bank Branch","Financial Services","CANADA","CAD"
"Blood Test","Healthcare & Medical","AUSTRALIA","AUD"
"Equinox Store Branch - Night","Entertainment & Recreation","CANADA","CAD"
"Regions Bank - CANADA","Financial Services","CANADA","CAD"
"Netflix #4080 Store TXN156075","Entertainment & Recreation","AUSTRALIA","AUD"
"Neurologist - INDIA","Healthcare & Medical","INDIA","INR"
"Alamo #4685 Store","Transportation","AUSTRALIA","AUD"
"KeyBank - CANADA Store","Financial Services","CANADA","CAD"
"Safeway Store Online","Food & Dining","INDIA","INR"
"License - UK Store","Government & Legal","UK","GBP"
"Sephora Strip Mall","Shopping & Retail","CANADA","CAD"
"Walmart Supercenter Store","Food & Dining","CANADA","CAD"
"Netflix (Mobile)","Entertainment & Recreation","UK","GBP"
"Marshals - Holiday","Government & Legal","UK","GBP"
"NYU Langone #7358 - USA Branch","Healthcare & Medical","USA","USD"
"Synagogue #1015 - CANADA Store","Charity & Donations","CANADA","CAD"
"NYU Langone #9587 TXN244639","Healthcare & Medical","AUSTRALIA","AUD"
"Offering TXN983219","Charity & Donations","CANADA","CAD"
"Rite Aid - UK Downtown","Shopping & Retail","UK","GBP"
"Broadband Mall","Utilities & Services","AUSTRALIA","AUD"
"Brokerage Hospital","Financial Services","INDIA","INR"
"World Vision Online","Charity & Donations","AUSTRALIA","AUD"
"Zoo","Entertainment & Recreation","USA","USD"
"TD Bank Online","Financial Services","AUSTRALIA","AUD"
"Domino's #9762 - Weekend","Food & Dining","CANADA","CAD"
"Wells Fargo","Financial Services","UK","GBP"
"SEPTA Campus","Transportation","INDIA","INR"
"Sheriff Store TXN877713","Government & Legal","UK","GBP"
"Taxi","Transportation","UK","GBP"
"Citibank Center","Financial Services","INDIA","INR"
"Swimming Pool","Entertainment & Recreation","UK","GBP"
"OfficeMax #4926","Shopping & Retail","USA","USD"
"Charity","Charity & Donations","AUSTRALIA","AUD"
"Orthopedist #9145","Healthcare & Medical","INDIA","INR"
"Panera Bread","Food & Dining","USA","USD"
"WWF #7643 Store - Dinner Time","Charity & Donations","CANADA","CAD"
"CIA Branch","Government & Legal","INDIA","INR"
"Avis Strip Mall","Transportation","CANADA","CAD"
"NYU Langone","Healthcare & Medical","INDIA","INR"
"Nike TXN295602","Shopping & Retail","USA","USD"
"Checkers #6913","Food & Dining","INDIA","INR"
"WiFi - Rush Hour","Utilities & Services","AUSTRALIA","AUD"
"GoFundMe (App)","Charity & Donations","USA","USD"
"PNC Bank #5860","Financial Services","UK","GBP"
"Blood Test","Healthcare & Medical","USA","USD"
"Town Hall - USA","Government & Legal","USA","USD"
"DMV","Government & Legal","INDIA","INR"
"UNICEF #7766 Branch","Charity & Donations","AUSTRALIA","AUD"
"Safeway #9374 Airport","Food & Dining","USA","USD"
"Mosque - Weekday","Charity & Donations","UK","GBP"
"Walmart Pharmacy Branch","Healthcare & Medical","AUSTRALIA","AUD"
"Part-time Store Online Center","Income","AUSTRALIA","AUD"
"Rental Income - UK","Income","UK","GBP"
"WMATA #7859","Transportation","AUSTRALIA","AUD"
"Mr. Sub","Food & Dining","USA","USD"
"SoulCycle - Holiday","Entertainment & Recreation","AUSTRALIA","AUD"
"Macy's Store","Shopping & Retail","USA","USD"
"Gas Company","Utilities & Services","UK","GBP"
"Festival - Weekend","Entertainment & Recreation","UK","GBP"
"Social Security - INDIA","Government & Legal","INDIA","INR"
"MRI #4921 Store","Healthcare & Medical","USA","USD"
"White House","Government & Legal","UK","GBP"
"Social Security Airport","Income","INDIA","INR"
"Retirement Store","Financial Services","USA","USD"
"WiFi #2370 Online","Utilities & Services","CANADA","CAD"
"Whole Foods - AUSTRALIA - Morning","Food & Dining","AUSTRALIA","AUD"
"Subway Store","Food & Dining","USA","USD"
"White House #3126 - UK - Weekend","Government & Legal","UK","GBP"
"Cleveland Clinic #4110 - UK - Holiday","Healthcare & Medical","UK","GBP"
"Macy's #8555 Online - Dinner Time","Shopping & Retail","INDIA","INR"
"Humane Society - Morning","Charity & Donations","CANADA","CAD"
"Pilates","Entertainment & Recreation","CANADA","CAD"
"Netflix","Entertainment & Recreation","AUSTRALIA","AUD"
"RCN Online Campus","Utilities & Services","UK","GBP"
"Paternity Leave Online","Income","CANADA","CAD"
"Laser Tag (Card)","Entertainment & Recreation","INDIA","INR"
"Contract Work - AUSTRALIA - Night","Income","AUSTRALIA","AUD"
"Congress - Rush Hour","Government & Legal","UK","GBP"
"SEPTA Center","Transportation","UK","GBP"
"Jersey Mike's (Contactless)","Food & Dining","USA","USD"
"Salary","Income","USA","USD"
"United Online","Transportation","AUSTRALIA","AUD"
"Licensing Downtown","Income","INDIA","INR"
"Golf Course - UK Store Online Mall","Entertainment & Recreation","UK","GBP"
"Getaround Store TXN723686","Transportation","USA","USD"
"Shake Shack #5309 Branch","Food & Dining","UK","GBP"
"Bank #9425","Financial Services","USA","USD"
"Direct Deposit - UK (Cash)","Income","UK","GBP"
"Mount Sinai","Healthcare & Medical","USA","USD"
"Bonus Online","Income","UK","GBP"
"Senior Center Store","Charity & Donations","INDIA","INR"
"Walmart Pharmacy","Healthcare & Medical","AUSTRALIA","AUD"
"Theme Park (Online)","Entertainment & Recreation","CANADA","CAD"
"Income - Rush Hour","Income","USA","USD"
"Five Guys Online (Digital Wallet)","Food & Dining","AUSTRALIA","AUD"
"Target TXN666377","Shopping & Retail","UK","GBP"
"Senate","Government & Legal","UK","GBP"
"WOW - UK","Utilities & Services","UK","GBP"
"DEA Store Campus","Government & Legal","AUSTRALIA","AUD"
"T-Mobile","Utilities & Services","INDIA","INR"
"Potbelly - UK - Evening","Food & Dining","UK","GBP"
"CenturyLink #4693","Utilities & Services","INDIA","INR"
"Town Hall Store - Evening","Government & Legal","CANADA","CAD"
"City Hall Store","Government & Legal","INDIA","INR"
"Wealth Management Store","Financial Services","AUSTRALIA","AUD"
"eBay Online","Shopping & Retail","CANADA","CAD"
"Walk-in Clinic TXN943509","Healthcare & Medical","UK","GBP"
"Phone Company - AUSTRALIA","Utilities & Services","AUSTRALIA","AUD"
"Gym Online","Entertainment & Recreation","UK","GBP"
"White Castle - AUSTRALIA","Food & Dining","AUSTRALIA","AUD"
"Wage #6994","Income","UK","GBP"
"Digital Bank","Financial Services","CANADA","CAD"
"Crunch Fitness Station","Entertainment & Recreation","INDIA","INR"
"Amazon #8159 TXN361198","Shopping & Retail","INDIA","INR"
"Baja Fresh #3797 Online (Digital Wallet)","Food & Dining","AUSTRALIA","AUD"
"Investment Bank","Financial Services","INDIA","INR"
"Marshals #7814","Government & Legal","CANADA","CAD"
"Congress Store","Government & Legal","UK","GBP"
"Orthopedist Online Branch","Healthcare & Medical","UK","GBP"
"Community Center - UK Online - Dinner Time","Charity & Donations","UK","GBP"
"Dunkin' Donuts","Food & Dining","CANADA","CAD"
"Part-time","Income","USA","USD"
"Payroll Store","Income","CANADA","CAD"
"Disability Store Station","Income","USA","USD"
"Tax Preparation - INDIA","Financial Services","INDIA","INR"
"Wendy's (ACH)","Food & Dining","CANADA","CAD"
"AT&T Residential","Utilities & Services","INDIA","INR"
"Megabus - Holiday","Transportation","USA","USD"
"Firehouse Subs","Food & Dining","AUSTRALIA","AUD"
"Lord & Taylor Online","Shopping & Retail","INDIA","INR"
"Franchise","Income","CANADA","CAD"
"UNICEF","Charity & Donations","USA","USD"
"Fifth Third #9770 - CANADA Store Hospital","Financial Services","CANADA","CAD"
"Neurologist","Healthcare & Medical","USA","USD"
"Annuity #3790","Income","INDIA","INR"
"Santander","Financial Services","UK","GBP"
"RCN #6244 - Weekend","Utilities & Services","UK","GBP"
"BB&T #1592 - INDIA","Financial Services","INDIA","INR"
"Von Maur #8630 - INDIA","Shopping & Retail","INDIA","INR"
"Court","Government & Legal","INDIA","INR"
"Municipal Building Online - Lunch Time","Government & Legal","UK","GBP"
"Shake Shack #6756","Food & Dining","CANADA","CAD"
"National #8148 - AUSTRALIA Store","Transportation","AUSTRALIA","AUD"
"Amnesty International #4287 - USA","Charity & Donations","USA","USD"
"White House","Government & Legal","UK","GBP"
"Medicare #6878","Government & Legal","AUSTRALIA","AUD"
"Police Department #9274 - Lunch Time","Government & Legal","CANADA","CAD"
"Marshals Store Online (App)","Government & Legal","AUSTRALIA","AUD"
"Arcade #9587 Store Center","Entertainment & Recreation","UK","GBP"
"Moe's Southwest Grill #6688 Store","Food & Dining","INDIA","INR"
"Cashback #7129 - USA - Afternoon","Income","USA","USD"
"Atlantic Broadband","Utilities & Services","AUSTRALIA","AUD"
"Wells Fargo","Financial Services","AUSTRALIA","AUD"
"Kroger Pharmacy - INDIA","Healthcare & Medical","INDIA","INR"
"Jack in the Box","Food & Dining","INDIA","INR"
"Temple Store","Charity & Donations","UK","GBP"
"Subway - USA Online - Holiday","Food & Dining","USA","USD"
"Windstream - USA","Utilities & Services","USA","USD"
"Viasat","Utilities & Services","INDIA","INR"
"Hawaiian Airlines #3686 - INDIA Airport","Transportation","INDIA","INR"
"DART","Transportation","AUSTRALIA","AUD"
"Budget - CANADA TXN225054","Transportation","CANADA","CAD"
"Cane's Online Center","Food & Dining","CANADA","CAD"
"Burlington #6929 (Bank Transfer)","Shopping & Retail","INDIA","INR"
"Lyft #4818","Transportation","CANADA","CAD"
"TJ Maxx #4035","Shopping & Retail","USA","USD"
"Adidas #5055 - UK","Shopping & Retail","UK","GBP"
"CVS","Healthcare & Medical","USA","USD"
"Municipal Building","Government & Legal","INDIA","INR"
"MARTA","Transportation","AUSTRALIA","AUD"
"Comerica #6915","Financial Services","UK","GBP"
"Theater #5726","Entertainment & Recreation","UK","GBP"
"Rock Climbing","Entertainment & Recreation","UK","GBP"
"Shake Shack Branch","Food & Dining","UK","GBP"
"Arby's Hospital","Food & Dining","AUSTRALIA","AUD"
"World Vision - INDIA","Charity & Donations","INDIA","INR"
"License #3842","Government & Legal","UK","GBP"
"Charter (Contactless)","Utilities & Services","USA","USD"
"MRI #2297 - AUSTRALIA Store","Healthcare & Medical","AUSTRALIA","AUD"
"Post Office","Shopping & Retail","INDIA","INR"
"Popeyes","Food & Dining","AUSTRALIA","AUD"
"NYU Langone Store","Healthcare & Medical","USA","USD"
"Sephora Store","Shopping & Retail","UK","GBP"
"Senior Center #8586 Store","Charity & Donations","UK","GBP"
"Amazon Prime Center - Evening","Entertainment & Recreation","AUSTRALIA","AUD"
"Digital Bank Store Online","Financial Services","USA","USD"
"Kickstarter #2378","Charity & Donations","UK","GBP"
"SunTrust #4611","Financial Services","INDIA","INR"
"Dillard's #6276","Shopping & Retail","AUSTRALIA","AUD"
"Fire Department","Government & Legal","USA","USD"
"Stanford Health","Healthcare & Medical","UK","GBP"
"Direct Deposit Branch","Income","USA","USD"
"Saks Off 5th Strip Mall","Shopping & Retail","USA","USD"
"Rally's Online","Food & Dining","CANADA","CAD"
"Licensing - UK Online","Income","UK","GBP"
"Train #8062 Online TXN794544","Transportation","UK","GBP"
"Synagogue","Charity & Donations","AUSTRALIA","AUD"
"Spirit - USA - Dinner Time","Transportation","USA","USD"
"Costco","Shopping & Retail","UK","GBP"
"Starbucks #3264 Store","Food & Dining","AUSTRALIA","AUD"
"Retirement","Financial Services","UK","GBP"
"Bergdorf Goodman Online","Shopping & Retail","INDIA","INR"
"Unemployment #8206 Store - Weekend","Income","CANADA","CAD"
"Zoo","Entertainment & Recreation","CANADA","CAD"
"Dairy Queen - UK Store","Food & Dining","UK","GBP"
"T-Mobile","Utilities & Services","UK","GBP"
"Fifth Third #4875","Financial Services","INDIA","INR"
"Cardiologist Station","Healthcare & Medical","INDIA","INR"
"FedEx Office","Shopping & Retail","USA","USD"
"Office Depot - USA - Holiday","Shopping & Retail","USA","USD"
"TSA (App)","Government & Legal","CANADA","CAD"
"Royalty","Income","INDIA","INR"
"United #6868 - CANADA (Digital Wallet)","Transportation","CANADA","CAD"
"Sheriff #8254 - Morning","Government & Legal","AUSTRALIA","AUD"
"Digital Bank Store","Financial Services","AUSTRALIA","AUD"
"Suddenlink #8148 Online Center - Weekday","Utilities & Services","USA","USD"
"White Castle #9498 - UK","Food & Dining","UK","GBP"
"Jack in the Box Online (Contactless)","Food & Dining","CANADA","CAD"
"Sparklight #3227","Utilities & Services","USA","USD"
"Side Hustle Branch","Income","USA","USD"
"Exxon","Transportation","UK","GBP"
"Laser Tag - INDIA","Entertainment & Recreation","INDIA","INR"
"Rally's Shopping Center","Food & Dining","UK","GBP"
"TJ Maxx #5634 - UK TXN342188","Shopping & Retail","UK","GBP"
"Local Food Bank #7656 Store","Charity & Donations","AUSTRALIA","AUD"
"CVS","Shopping & Retail","USA","USD"
"Sheriff #5119","Government & Legal","UK","GBP"
"MARTA","Transportation","INDIA","INR"
"Hulu","Entertainment & Recreation","UK","GBP"
"Nike #1388 - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"Gold's Gym","Entertainment & Recreation","USA","USD"
"Wendy's Online","Food & Dining","CANADA","CAD"
"Emergency Room (ACH)","Healthcare & Medical","USA","USD"
"Interest","Income","CANADA","CAD"
"Clinic","Healthcare & Medical","UK","GBP"
"License","Government & Legal","USA","USD"
"Credit - USA","Income","USA","USD"
"FlixBus Branch","Transportation","CANADA","CAD"
"Adidas Store","Shopping & Retail","UK","GBP"
"Olive Garden - UK","Food & Dining","UK","GBP"
"Saks Off 5th Branch","Shopping & Retail","UK","GBP"
"Investment #6973 Store","Financial Services","UK","GBP"
"Veterans Organization #1416","Charity & Donations","INDIA","INR"
"White Castle - INDIA Store","Food & Dining","INDIA","INR"
"Bergdorf Goodman Store TXN970132","Shopping & Retail","UK","GBP"
"Rite Aid Store","Healthcare & Medical","CANADA","CAD"
"Online Bank Store - Morning","Financial Services","INDIA","INR"
"Water Company - USA Campus","Utilities & Services","USA","USD"
"Eye Care #5498 Online","Healthcare & Medical","UK","GBP"
"Lord & Taylor #3403 - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"Community Center #9583","Charity & Donations","CANADA","CAD"
"Macy's (Cash)","Shopping & Retail","UK","GBP"
"World Vision - UK - Evening","Charity & Donations","UK","GBP"
"Lord & Taylor Store (App)","Shopping & Retail","CANADA","CAD"
"Satellite Internet #1770 - CANADA Online (Wire)","Utilities & Services","CANADA","CAD"
"Deposit Branch","Income","AUSTRALIA","AUD"
"Nike - Lunch Time","Shopping & Retail","UK","GBP"
"Rental Income #1971","Income","USA","USD"
"Hulu","Entertainment & Recreation","USA","USD"
"ASPCA","Charity & Donations","INDIA","INR"
"Neurologist #4286 - AUSTRALIA - Afternoon","Healthcare & Medical","AUSTRALIA","AUD"
"Museum #8251","Entertainment & Recreation","CANADA","CAD"
"Medicaid #1398","Government & Legal","USA","USD"
"Franchise #8940","Income","USA","USD"
"Southwest Airlines","Transportation","INDIA","INR"
"Cinema","Entertainment & Recreation","CANADA","CAD"
"LA Fitness - INDIA Store Campus","Entertainment & Recreation","INDIA","INR"
"Cashback #5151","Income","INDIA","INR"
"Post Office - Morning","Government & Legal","USA","USD"
"TD Bank #7420 TXN141799","Financial Services","UK","GBP"
"Dish Online","Utilities & Services","AUSTRALIA","AUD"
"UPS Store #2111 Center - Holiday","Shopping & Retail","CANADA","CAD"
"City Hall #3795","Government & Legal","USA","USD"
"Audubon Society Online Mall","Charity & Donations","CANADA","CAD"
"Frontier","Transportation","USA","USD"
"Paramedic","Government & Legal","CANADA","CAD"
"McDonald's Online TXN485547","Food & Dining","AUSTRALIA","AUD"
"FlixBus - Night","Transportation","UK","GBP"
"Disney+ - Weekday","Entertainment & Recreation","CANADA","CAD"
"Surgery","Healthcare & Medical","INDIA","INR"
"Parking","Transportation","USA","USD"
"Rite Aid #7155 Branch - Morning","Healthcare & Medical","CANADA","CAD"
"CVS - UK TXN681288","Shopping & Retail","UK","GBP"
"DART","Transportation","AUSTRALIA","AUD"
"Accounting - AUSTRALIA Center - Morning","Financial Services","AUSTRALIA","AUD"
"Bowling Alley","Entertainment & Recreation","CANADA","CAD"
"Municipal Building Store","Government & Legal","CANADA","CAD"
"Community Bank #5339","Financial Services","INDIA","INR"
"Escape Room (Digital Wallet)","Entertainment & Recreation","CANADA","CAD"
"Walgreens","Shopping & Retail","USA","USD"
"Secret Service #7037","Government & Legal","UK","GBP"
"Theater #6366","Entertainment & Recreation","USA","USD"
"Local Church","Charity & Donations","USA","USD"
"TJ Maxx","Shopping & Retail","INDIA","INR"
"Amazon Prime Store","Entertainment & Recreation","AUSTRALIA","AUD"
"Hospital","Healthcare & Medical","USA","USD"
"MARTA Branch","Transportation","USA","USD"
"Potbelly Center - Dinner Time","Food & Dining","UK","GBP"
"Capital One #2054","Financial Services","USA","USD"
"Marshalls","Shopping & Retail","USA","USD"
"Target - INDIA","Food & Dining","INDIA","INR"
"Red Cross (Online)","Charity & Donations","AUSTRALIA","AUD"
"Whataburger #1299 Center - Holiday","Food & Dining","UK","GBP"
"SoulCycle","Entertainment & Recreation","UK","GBP"
"Taxi - INDIA","Transportation","INDIA","INR"
"Sixt #2421 - UK Online","Transportation","UK","GBP"
"Marshalls - USA Center - Lunch Time","Shopping & Retail","USA","USD"
"Sephora TXN241418","Shopping & Retail","USA","USD"
"Adidas Store","Shopping & Retail","INDIA","INR"
"Consolidated Communications #9883 Hospital","Utilities & Services","INDIA","INR"
"US Bank - UK Store (Wire)","Financial Services","UK","GBP"
"Exxon #6223","Transportation","UK","GBP"
"Speech Therapy Branch","Healthcare & Medical","INDIA","INR"
"Charity","Charity & Donations","AUSTRALIA","AUD"
"LA Fitness Online","Entertainment & Recreation","AUSTRALIA","AUD"
"Jersey Mike's (Cash)","Food & Dining","CANADA","CAD"
"Payroll Store - Night","Income","USA","USD"
"Big Lots Online","Shopping & Retail","CANADA","CAD"
"NYU Langone #1867 (Cash)","Healthcare & Medical","INDIA","INR"
"MBTA Store","Transportation","AUSTRALIA","AUD"
"Comerica #2232 - UK Store","Financial Services","UK","GBP"
"Taco Bell","Food & Dining","UK","GBP"
"Bojangles TXN238511","Food & Dining","CANADA","CAD"
"Rally's - UK Online Station","Food & Dining","UK","GBP"
"SunTrust #1803 - CANADA - Afternoon","Financial Services","CANADA","CAD"
"Local Food Bank #2745 Center Strip Mall","Charity & Donations","INDIA","INR"
"Lord & Taylor #8013 Online - Night","Shopping & Retail","USA","USD"
"IKEA","Shopping & Retail","AUSTRALIA","AUD"
"Macy's","Shopping & Retail","UK","GBP"
"Bergdorf Goodman #9239 Online","Shopping & Retail","USA","USD"
"Dermatologist TXN101307","Healthcare & Medical","UK","GBP"
"Swimming Pool Campus","Entertainment & Recreation","UK","GBP"
"Government #4262 Store Online Branch","Government & Legal","CANADA","CAD"
"PNC Bank - AUSTRALIA","Financial Services","AUSTRALIA","AUD"
"Investment #2111 - CANADA Center","Financial Services","CANADA","CAD"
"Avis #4468 Business District","Transportation","AUSTRALIA","AUD"
"Target - UK","Food & Dining","UK","GBP"
"WiFi TXN522845","Utilities & Services","USA","USD"
"Court Online Campus","Government & Legal","AUSTRALIA","AUD"
"Financial Advisor (Online)","Financial Services","INDIA","INR"
"Cedars-Sinai #5770 Store","Healthcare & Medical","INDIA","INR"
"Specialist","Healthcare & Medical","UK","GBP"
"Eye Care","Healthcare & Medical","CANADA","CAD"
"AMC - CANADA Airport","Entertainment & Recreation","CANADA","CAD"
"Side Hustle Online","Income","AUSTRALIA","AUD"
"United - AUSTRALIA Campus","Transportation","AUSTRALIA","AUD"
"Go-Kart #7750 Store","Entertainment & Recreation","UK","GBP"
"Town Hall #7506 Store - Rush Hour","Government & Legal","UK","GBP"
"SPCA - CANADA - Rush Hour","Charity & Donations","CANADA","CAD"
"Convention Center - Weekend","Entertainment & Recreation","INDIA","INR"
"Orange Theory #8383 Store","Entertainment & Recreation","INDIA","INR"
"Primary Care - CANADA Store","Healthcare & Medical","CANADA","CAD"
"DART #6161","Transportation","INDIA","INR"
"Synagogue #2824 Store - Night","Charity & Donations","USA","USD"
"Physical Therapy","Healthcare & Medical","INDIA","INR"
"Highway Patrol - AUSTRALIA Branch","Government & Legal","AUSTRALIA","AUD"
"Bank of America Online","Financial Services","USA","USD"
"Nordstrom - Afternoon","Shopping & Retail","INDIA","INR"
"Credit Union","Financial Services","INDIA","INR"
"X-Ray (ACH)","Healthcare & Medical","USA","USD"
"Subway #5695 Store Center","Food & Dining","INDIA","INR"
"Noodles & Company (Online)","Food & Dining","AUSTRALIA","AUD"
"Income #3565","Income","USA","USD"
"Hawaiian Airlines #3291","Transportation","USA","USD"
"Comcast Strip Mall","Utilities & Services","UK","GBP"
"Belk Online","Shopping & Retail","AUSTRALIA","AUD"
"Orange Theory Store","Entertainment & Recreation","CANADA","CAD"
"Cashback #6134 - USA Store Online","Income","USA","USD"
"Rental Income - AUSTRALIA Online - Morning","Income","AUSTRALIA","AUD"
"Big Lots Center TXN129356","Shopping & Retail","UK","GBP"
"Paintball #6006","Entertainment & Recreation","CANADA","CAD"
"Fitness - AUSTRALIA TXN748327","Entertainment & Recreation","AUSTRALIA","AUD"
"Adidas (App)","Shopping & Retail","INDIA","INR"
"NSA Store","Government & Legal","USA","USD"
"Adidas #3174","Shopping & Retail","INDIA","INR"
"CTA Store Online","Transportation","UK","GBP"
"United","Transportation","AUSTRALIA","AUD"
"UCLA Medical TXN141425","Healthcare & Medical","UK","GBP"
"Audubon Society #3635","Charity & Donations","AUSTRALIA","AUD"
"Hospital Online (Card)","Healthcare & Medical","AUSTRALIA","AUD"
"Pizza Hut #1178","Food & Dining","CANADA","CAD"
"SunTrust Online","Financial Services","AUSTRALIA","AUD"
"Senate Shopping Center","Government & Legal","CANADA","CAD"
"SoulCycle #2036 - USA Center - Afternoon","Entertainment & Recreation","USA","USD"
"Bojangles - CANADA Store","Food & Dining","CANADA","CAD"
"World Vision Center Airport","Charity & Donations","UK","GBP"
"Ski Resort","Entertainment & Recreation","UK","GBP"
"CVS #9821","Healthcare & Medical","INDIA","INR"
"Mortgage - UK Store","Financial Services","UK","GBP"
"Domino's #8613 - UK Online (Mobile)","Food & Dining","UK","GBP"
"Internet Provider #6386 TXN778923","Utilities & Services","CANADA","CAD"
"Golf Course Center - Dinner Time","Entertainment & Recreation","INDIA","INR"
"Cane's #4567 Online","Food & Dining","UK","GBP"
"Golf Course","Entertainment & Recreation","CANADA","CAD"
"Walgreens","Shopping & Retail","UK","GBP"
"Financial Advisor","Financial Services","CANADA","CAD"
"Sierra Club #6000 - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"Senate #8766","Government & Legal","AUSTRALIA","AUD"
"ASPCA - CANADA Store Online Residential","Charity & Donations","CANADA","CAD"
"Senate","Government & Legal","AUSTRALIA","AUD"
"American Airlines","Transportation","INDIA","INR"
"Macy's #7618 Branch Center Hospital","Shopping & Retail","UK","GBP"
"Toll #3961 - CANADA","Transportation","CANADA","CAD"
"Accounting","Financial Services","USA","USD"
"Greenpeace","Charity & Donations","UK","GBP"
"Crunch Fitness Store","Entertainment & Recreation","USA","USD"
"Cable One #2259","Utilities & Services","USA","USD"
"MTA #5206 - INDIA Store","Transportation","INDIA","INR"
"NGO","Charity & Donations","UK","GBP"
"24 Hour Fitness #1148","Entertainment & Recreation","INDIA","INR"
"Uniqlo (Contactless)","Shopping & Retail","USA","USD"
"Chevron Store (Contactless)","Transportation","CANADA","CAD"
"Potbelly Store Online Branch - Weekday","Food & Dining","INDIA","INR"
"Hardee's #6553 - AUSTRALIA Online","Food & Dining","AUSTRALIA","AUD"
"Theme Park #8411 Store Online Center","Entertainment & Recreation","CANADA","CAD"
"Clinic","Healthcare & Medical","USA","USD"
"Local Food Bank (Card)","Charity & Donations","AUSTRALIA","AUD"
"Humane Society","Charity & Donations","UK","GBP"
"Rite Aid #8942 Store Branch","Shopping & Retail","USA","USD"
"Lab #7185 - CANADA Branch (Cash)","Healthcare & Medical","CANADA","CAD"
"Nature Conservancy #6060 Online","Charity & Donations","USA","USD"
"Potbelly - CANADA","Food & Dining","CANADA","CAD"
"Macy's #6450","Shopping & Retail","USA","USD"
"Brokerage Online Shopping Center","Financial Services","INDIA","INR"
"Highway Patrol - UK Store","Government & Legal","UK","GBP"
"MTA","Transportation","AUSTRALIA","AUD"
"Medicaid","Government & Legal","INDIA","INR"
"Animal Shelter Strip Mall","Charity & Donations","USA","USD"
"JetBlue Online","Transportation","USA","USD"
"Immigration #8958 Hospital","Government & Legal","AUSTRALIA","AUD"
"DSL #2788","Utilities & Services","CANADA","CAD"
"Office Depot","Shopping & Retail","CANADA","CAD"
"Dividend","Income","UK","GBP"
"Licensing","Income","USA","USD"
"Cold Stone Creamery","Food & Dining","CANADA","CAD"
"Amtrak","Transportation","USA","USD"
"Financial Advisor (Card)","Financial Services","UK","GBP"
"UPS Store - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"Allegiant - CANADA Store Online","Transportation","CANADA","CAD"
"Regal #7814 - INDIA","Entertainment & Recreation","INDIA","INR"
